批次日期,检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:23:46.000,20260525,22:23:46.000,22:23:47.000,SN,SN2606,5026000,10035,10035,5026000,interval_execution_drop,418087.5,5.559749999999999,3,"SN2607,SN2609,SN2610",20,476,290.0,417940.0,417771.1494252874,14.75,3.52796962358358,31.635057471261824,7.566611647385254,417750.9638554217,33.65361445783056,24.2216,20.904375,23.08614442778344,87.0,36346090.0,87.0,27522.499999997788,trade_recovered_3s,,1.5,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:23:59.000,20260525,22:23:59.000,,SN,SN2606,5039000,10061,10061,5039000,visible_execution_drop,418030.0,1.85325,4,"SN2607,SN2609,SN2610,SN2612",20,475,290.0,417760.0,417898.3333333333,27.0,6.458866588522355,13.166666666668608,3.1496942005761803,,,24.7216,21.5064,21.0,24.0,10029560.0,24.0,3160.0000000004657,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|00:49:35.000,20260525,00:49:35.000,,SN,SN2606,13775000,27063,27063,13775000,visible_execution_drop,422065.0,2.9652,5,"SN2607,SN2608,SN2609,SN2610,SN2612",20,362,290.0,421840.0,421955.6818181818,22.5,5.330932439316219,10.931818181817652,2.5900792962737147,,,21.10325,21.10325,19.5,44.0,18566050.0,44.0,4809.999999999767,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|00:49:42.500,20260525,00:49:42.500,,SN,SN2606,13782500,27078,27078,13782500,visible_execution_drop,421815.0,2.9652,5,"SN2607,SN2608,SN2609,SN2610,SN2612",20,366,290.0,421600.0,421695.6666666667,21.5,5.097021205978924,11.933333333331394,2.8290443282793154,,,21.09075,21.09075,16.416666666665698,30.0,12650870.0,30.0,3579.999999999418,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|00:50:34.500,20260525,00:50:34.500,,SN,SN2606,13834500,27178,27178,13834500,visible_execution_drop,421730.0,1.4826,5,"SN2607,SN2608,SN2609,SN2610,SN2612",20,387,290.0,421490.0,421566.3636363637,24.0,5.690844853342186,16.363636363635305,3.8801214909148753,,,23.9716,21.0865,22.5,33.0,13911690.0,33.0,5399.999999999651,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2607|21:22:34.500,20260525,21:22:34.500,,SN,SN2607,1354500,2708,2708,1354500,visible_execution_drop,423325.0,3.7065,5,"SN2606,SN2608,SN2609,SN2610,SN2612",20,394,290.0,423010.0,423158.75,31.5,7.441091360066143,16.625,3.927242662257131,,,30.151999999999997,24.2216,30.333333333334306,16.0,6770540.0,16.0,2660.0,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2607|11:02:49.500,20260525,11:02:49.500,11:02:50.500,SN,SN2607,50569500,40524,40524,50569500,"visible_execution_drop,interval_execution_drop",425255.0,5.9304,3,"SN2608,SN2610,SN2612",20,308,290.0,424880.0,424994.0,37.5,8.818238468683495,26.1,6.1374939742037125,424924.0983606557,33.09016393442871,26.1868,23.2216,27.0,40.0,16999760.0,40.0,10440.0,trade_recovered_3s,0.5,1.5,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2607|11:26:13.000,20260525,11:26:13.000,,SN,SN2607,51973000,43263,43263,51973000,visible_execution_drop,423725.0,4.447799999999999,5,"SN2606,SN2608,SN2609,SN2610,SN2612",20,359,290.0,423270.0,423438.0,45.5,10.738096642869785,28.7,6.773260959348634,,,32.1172,32.3672,45.5,50.0,21171900.0,50.0,14350.0,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2607|13:41:26.500,20260525,13:41:26.500,,SN,SN2607,60086500,45072,45072,60086500,visible_execution_drop,422835.0,8.1543,3,"SN2608,SN2609,SN2612",20,287,290.0,422600.0,422736.1538461539,23.5,5.55772346187047,9.884615384612696,2.337700375941608,,,22.7216,22.2216,23.5,13.0,5495570.0,13.0,1284.9999999996508,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA608|11:03:39.000,20260525,11:03:39.000,11:03:40.000,TA,TA608,50619000,21048,21049,50619000,interval_execution_drop,6042.0,2.2239,5,"TA609,TA607,TA701,TA610,TA606",20,118,289.0,6034.0,5935.645951035782,4.0,13.240648791790798,53.17702448210912,176.02457624001693,5937.128971962617,52.43551401869172,20.0,20.0,50.17702448210912,531.0,3151828.0,531.0,56473.99999999988,quote_only_recovered_3s,,6.0,1.0,
