检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2608|09:03:00.000,20260304,09:03:00.000,,FU,FU2608,43380000,13074,13074,43380000,visible_execution_drop,3552.0,5.1891,5,"FU2605,FU2606,FU2609,FU2607,FU2604",20,165,229.5,3524.0,3537.1333333333337,28.0,78.82882882882882,14.866666666666331,41.85435435435342,,,23.2216,21.244800000001796,24.25,45.0,1591710.0,45.0,6689.99999999985,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2608|09:44:29.500,20260304,09:44:29.500,09:44:30.500,FU,FU2608,45869500,18053,18053,45869500,"visible_execution_drop,interval_execution_drop",3549.5,1.4826,3,"FU2605,FU2606,FU2604",20,283,290.0,3518.0,3517.1923076923076,31.5,88.74489364699252,32.30769230769238,91.02040374050536,3517.3387096774195,32.1612903225805,20.0,20.0,18.807692307692378,52.0,1828940.0,52.0,16800.000000000036,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IM2603|09:50:35.900,20260304,09:50:35.900,,IM,IM2603,46235900,2472,2472,46235900,visible_execution_drop,8178.3,4.447799999995954,3,"IM2606,IM2609,IM2604",20,548,290.0,8171.4,8176.475862068965,34.50000000000273,8.436961226661465,9.12068965517392,2.2304610139451766,,,34.01280000004315,32.67846000001402,34.50000000000273,29.0,47423560.0,29.0,10580.000000001746,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2605|10:36:59.851,20260304,10:36:59.851,,LC,LC2605,49019851,9201,9201,49019851,visible_execution_drop,151990.0,1.4826,3,"LC2607,LC2604,LC2606",20,391,289.444,151440.0,151573.5294117647,27.5,36.18659122310678,20.823529411765048,27.401183514395747,,,25.9368,24.415999999992604,23.5,34.0,5153500.0,34.0,14160.000000000233,trade_recovered_3s,0.444,,0.444,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LU2605|09:53:01.000,20260304,09:53:01.000,09:53:02.000,LU,LU2605,46381000,20709,20709,46381000,interval_execution_drop,4190.0,5.1891,4,"LU2606,LU2607,LU2609,LU2608",20,534,290.0,4171.0,4168.573705179283,19.0,45.34606205250597,21.426294820716976,51.13674181555364,4168.5634408602145,21.43655913978546,21.2564,20.0,12.565639083011774,251.0,10463120.0,251.0,53779.99999999961,trade_recovered_3s,,1.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LU2605|09:53:35.500,20260304,09:53:35.500,09:53:36.500,LU,LU2605,46415500,20778,20778,46415500,"visible_execution_drop,interval_execution_drop",4190.25,3.7065,4,"LU2606,LU2607,LU2609,LU2608",20,538,290.0,4166.0,4159.741100323625,24.25,57.87244197840224,30.508899676375226,72.80925881838846,4166.324022346369,23.92597765363098,24.2216,20.88273846154026,29.508899676375226,309.0,12853600.0,309.0,94272.49999999945,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LU2606|10:05:38.000,20260304,10:05:38.000,10:05:39.000,LU,LU2606,47138000,11936,11936,47138000,"visible_execution_drop,interval_execution_drop",4167.0,5.9304,5,"LU2605,LU2607,LU2604,LU2609,LU2608",20,328,290.0,4126.0,4104.528846153846,41.0,98.39212862970962,62.471153846154266,149.91877572871195,4116.707865168539,50.292134831461226,23.7216,23.7216,62.471153846154266,208.0,8537420.0,208.0,129940.00000000087,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:17:21.000,20260303,21:17:21.000,21:17:22.000,OI,OI607,1041000,1841,1842,1042000,interval_execution_drop,9536.0,5.1891,5,"OI605,OI609,OI701,OI611,OI603",20,151,290.0,9535.0,9502.0,1.0,1.0486577181208054,34.0,35.65436241610738,9502.0,34.0,20.0,33.2912,14.75,3.0,28506.0,7.0,102.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:17:30.000,20260303,21:17:30.000,21:17:31.000,OI,OI607,1050000,1857,1858,1050000,interval_execution_drop,9537.0,4.4478,5,"OI605,OI609,OI701,OI611,OI603",20,156,290.0,9535.0,9502.0,2.0,2.097095522701059,35.0,36.699171647268535,9502.0,35.0,20.0,33.2912,35.0,31.0,294562.0,31.0,1085.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:17:32.000,20260303,21:17:32.000,21:17:33.000,OI,OI609,1051000,1870,1871,1052000,interval_execution_drop,9480.5,4.4478,5,"OI605,OI607,OI701,OI611,OI603",20,153,290.0,9485.0,9441.0,-4.5,-4.7465850957228,39.5,41.66446917356679,9441.0,39.5,21.7216,36.7564,21.0,8.0,75528.0,11.0,316.0,quote_only_recovered_3s,,,1.0,
