检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记,日线边界判定
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:54:05.000,20260309,21:54:05.000,21:54:06.000,PF,PF604,3245000,5613,5614,3245000,interval_execution_drop,8250.0,6.6716999999999995,5,"PF606,PF605,PF607,PF608,PF609",20,212,290.0,8260.0,7639.507352941177,-5.0,-12.12121212121212,305.2463235294117,739.9910873440284,7712.701639344263,268.64918032786863,39.9432,136.6336,305.2463235294117,272.0,2077946.0,272.0,166053.99999999997,quote_only_recovered_3s,,4.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:05:23.000,20260309,21:05:23.000,21:05:24.000,PF,PF605,323000,501,502,323000,interval_execution_drop,8212.0,6.6716999999999995,3,"PF606,PF607,PF608",20,103,290.0,8274.0,7886.75,-31.0,-75.4992693619094,162.625,396.06673161227474,7921.461538461538,145.26923076923094,107.858,20.0,162.625,24.0,189282.0,24.0,7806.0,quote_only_recovered_3s,,4.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:21:12.000,20260309,21:21:12.000,21:21:13.000,PF,PF605,1272000,2070,2071,1272000,interval_execution_drop,8105.0,2.9652,4,"PF604,PF606,PF608,PF609",20,104,290.0,8104.0,7376.375,0.5,1.2338062924120914,364.3125,898.98210980876,7582.0,261.5,39.323699999999995,20.0,364.3125,32.0,236044.0,32.0,23316.0,quote_only_recovered_3s,,4.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:23:00.000,20260309,21:23:00.000,21:23:01.000,PF,PF605,1380000,2256,2257,1380000,interval_execution_drop,8068.0,0.7413,5,"PF604,PF606,PF607,PF608,PF609",20,132,290.0,8066.0,7625.6,1.0,2.4789291026276645,221.19999999999985,548.339117501239,7778.44776119403,144.77611940298493,22.0064,20.0,218.69999999999985,50.0,381280.0,50.0,22119.99999999998,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:24:47.000,20260309,21:24:47.000,21:24:48.000,PF,PF605,1487000,2449,2450,1487000,interval_execution_drop,8093.0,3.7065,5,"PF604,PF606,PF607,PF608,PF609",20,163,290.0,8074.0,7630.981818181818,9.5,23.47707895712344,231.0090909090909,570.8861754827404,7787.52,152.73999999999978,25.7216,20.0,230.2590909090909,55.0,419704.0,55.0,25411.0,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:30:13.000,20260309,21:30:13.000,21:30:14.000,PF,PF605,1813000,2986,2987,1813000,interval_execution_drop,8072.0,2.9652,4,"PF604,PF606,PF607,PF608",20,124,290.0,8080.0,8000.955056179775,-4.0,-9.910802775024775,35.52247191011247,88.0140532956206,8013.778947368421,29.110526315789684,22.2216,20.0,35.52247191011247,178.0,1424170.0,178.0,12646.00000000004,quote_only_recovered_3s,,4.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|21:34:18.000,20260309,21:34:18.000,21:34:19.000,PF,PF606,2058000,3136,3137,2058000,interval_execution_drop,7986.0,2.2239,5,"PF604,PF605,PF607,PF608,PF609",20,117,285.0,7980.0,7837.744680851064,3.0,7.513148009015778,74.127659574468,185.64402598163787,7857.164179104478,64.41791044776119,33.652,44.1776,72.377659574468,188.0,1473496.0,188.0,27871.999999999967,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR605|21:16:00.000,20260309,21:16:00.000,21:16:01.000,PR,PR605,960000,1582,1582,960000,interval_execution_drop,7671.5,7.04235,2,"PR606,PR607",20,115,289.0,7716.0,7166.790697674419,-22.25,-58.00690868800105,252.35465116279056,657.9017171681954,7346.1016949152545,162.69915254237276,24.6346,20.0,252.35465116279056,43.0,308172.0,43.0,21702.49999999999,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:02.000,20260309,21:11:02.000,21:11:03.000,PX,PX605,662000,1325,1326,662000,interval_execution_drop,9417.5,1.4826,4,"PX609,PX606,PX607,PX608",20,139,290.0,9428.0,8272.959537572255,-5.25,-11.149455800371648,572.2702312138726,1215.3336473881022,8442.030303030304,487.734848484848,60.8388,100.1556,572.2702312138726,173.0,1431222.0,173.0,198005.4999999999,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:14:42.000,20260309,21:14:42.000,21:14:43.000,PX,PX605,882000,1763,1764,882000,interval_execution_drop,9359.5,5.1891,4,"PX609,PX606,PX604,PX608",20,202,290.0,9354.0,8421.58371040724,2.75,5.876382285378493,468.9581447963801,1002.10084896924,8969.653012048193,194.9234939759035,41.4432,20.0,465.9581447963801,221.0,1861170.0,221.0,207279.5,trade_recovered_3s,,2.0,1.0,,建议排除
