检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:19:14.000,20260305,14:19:14.000,,SC,SC2604,62354000,59984,59984,62354000,visible_execution_drop,717.3499999999999,4.447800000001011,4,"SC2605,SC2606,SC2607,SC2609",20,459,290.0,711.3,711.3,60.499999999999545,84.33818916846666,60.499999999999545,84.33818916846666,,,40.01280000002989,40.01280000001527,60.499999999999545,1.0,711300.0,1.0,6049.9999999999545,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:19:59.500,20260305,14:19:59.500,,SC,SC2604,62399500,60063,60063,62399500,visible_execution_drop,720.75,8.895600000000336,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,388,290.0,711.3,711.3,94.50000000000044,131.11342351717025,94.50000000000044,131.11342351717025,,,49.658400000002025,47.399200000001194,94.50000000000044,2.0,1422600.0,2.0,18900.00000000009,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:06.000,20260305,14:20:06.000,,SC,SC2604,62406000,60072,60072,62406000,visible_execution_drop,720.05,5.189099999998651,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,375,290.0,711.3,711.3,87.5,121.5193389347962,87.5,121.5193389347962,,,46.94320000001124,46.943199999983136,87.5,1.0,711300.0,1.0,8750.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:10.500,20260305,14:20:10.500,,SC,SC2604,62410500,60079,60079,62410500,visible_execution_drop,719.6,5.930399999999662,3,"SC2606,SC2607,SC2609",20,367,290.0,711.3,711.3,83.00000000000068,115.34185658699371,83.00000000000068,115.34185658699371,,,46.943200000012375,45.93016470586641,83.00000000000068,1.0,711300.0,1.0,8300.00000000007,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:15.500,20260305,14:20:15.500,,SC,SC2604,62415500,60087,60087,62415500,visible_execution_drop,718.9,2.965200000000674,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,358,290.0,711.3,711.3,76.00000000000023,105.71706774238451,76.00000000000023,105.71706774238451,,,47.44320000000347,46.44579076922101,76.00000000000023,1.0,711300.0,1.0,7600.000000000023,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:19.500,20260305,14:20:19.500,,SC,SC2604,62419500,60091,60091,62419500,visible_execution_drop,718.6000000000001,8.154299999995954,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,351,290.0,711.3,711.3,73.00000000000182,101.5864180350707,73.00000000000182,101.5864180350707,,,47.443200000025406,47.025476923080305,73.00000000000182,1.0,711300.0,1.0,7300.000000000182,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:36.500,20260305,14:20:36.500,,SC,SC2604,62436500,60110,60110,62436500,visible_execution_drop,717.1000000000001,9.63689999999629,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,327,290.0,711.3,711.3,58.00000000000182,80.88132756937918,58.00000000000182,80.88132756937918,,,54.3736000000191,47.94320000001033,58.00000000000182,1.0,711300.0,1.0,5800.000000000182,trade_recovered_3s,2.0,,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:21:06.000,20260305,14:21:06.000,,SC,SC2604,62466000,60138,60138,62466000,visible_execution_drop,719.3,8.15430000000101,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,275,290.0,711.3,711.3,80.0,111.21924092868068,80.0,111.21924092868068,,,66.73440000000787,67.54318297874183,80.0,6.0,4267800.0,6.0,48000.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:37:46.000,20260305,14:37:46.000,,SC,SC2604,63466000,61765,61765,63466000,visible_execution_drop,715.5500000000001,2.9651999999989886,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,385,290.0,711.3,711.3,42.50000000000114,59.39487107819319,42.50000000000114,59.39487107819319,,,34.58239999996627,29.738080000012268,42.50000000000114,1.0,711300.0,1.0,4250.000000000114,quote_only_recovered_3s,,,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:37:51.500,20260305,14:37:51.500,,SC,SC2604,63471500,61775,61775,63471500,visible_execution_drop,715.6500000000001,2.9651999999989886,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,375,290.0,711.3,711.3,43.50000000000136,60.78390274575751,43.50000000000136,60.78390274575751,,,28.652000000013256,28.65199999999977,43.50000000000136,1.0,711300.0,1.0,4350.000000000136,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:38:06.500,20260305,14:38:06.500,,SC,SC2604,63486500,61799,61799,63486500,visible_execution_drop,715.85,2.965200000000674,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,349,290.0,711.3,711.3,45.50000000000068,63.56080184396267,45.50000000000068,63.56080184396267,,,35.08239999998044,29.152000000026284,45.50000000000068,1.0,711300.0,1.0,4550.000000000068,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:38:10.000,20260305,14:38:10.000,,SC,SC2604,63490000,61804,61804,63490000,visible_execution_drop,715.8,5.189100000002022,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,342,290.0,711.3,711.3,45.0,62.86672254819783,45.0,62.86672254819783,,,29.15200000001394,29.152000000007195,45.0,7.0,4979100.0,7.0,31500.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:38:31.500,20260305,14:38:31.500,,SC,SC2604,63511500,61840,61840,63511500,visible_execution_drop,714.6,0.7413000000010113,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,305,290.0,711.3,711.3,33.00000000000068,46.179680940387186,33.00000000000068,46.179680940387186,,,29.652000000024692,29.652000000024692,33.00000000000068,1.0,711300.0,1.0,3300.000000000068,quote_only_recovered_3s,8.5,,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|14:18:37.500,20260305,14:18:37.500,,SC,SC2605,62317500,58316,58316,62317500,visible_execution_drop,677.9250000000002,0.3706500000005056,2,"SC2606,SC2607",20,494,290.0,675.5,676.1818181818182,24.25000000000182,35.77091861194352,17.43181818181938,25.71349069855718,,,20.936800000021897,20.936799999982014,18.875000000000455,11.0,7438000.0,11.0,19175.000000001317,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2606|02:00:08.000,20260305,02:00:08.000,02:00:09.000,SC,SC2606,18008000,27779,27779,18008000,visible_execution_drop,594.9500000000002,0.7412999999993256,2,"SC2607,SC2608",20,114,290.0,583.0000000000001,589.93,119.50000000000044,200.85721489200844,50.20000000000209,84.37683838978414,590.6507692307692,42.99230769230917,51.55079999999023,50.06819999999889,119.15000000000076,40.0,23597200.0,40.0,200800.0000000084,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2606|14:51:54.000,20260305,14:51:54.000,14:51:55.000,SC,SC2606,64314000,55254,55254,64314000,"visible_execution_drop,interval_execution_drop",617.9500000000003,8.89559999999865,3,"SC2607,SC2609,SC2608",20,162,290.0,610.2,610.14,77.50000000000227,125.41467756291324,78.10000000000286,126.38562990533671,610.0835443037975,78.6645569620282,37.11719999997192,35.259600000007325,51.850000000004,30.0,18304200.0,30.0,234300.0000000086,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2606|14:52:15.000,20260305,14:52:15.000,14:52:16.000,SC,SC2606,64335000,55296,55296,64335000,"visible_execution_drop,interval_execution_drop",610.8000000000001,8.15430000000101,3,"SC2604,SC2609,SC2608",20,155,290.0,598.0000000000001,597.4684210526316,127.99999999999956,209.56123117223237,133.31578947368484,218.2642263812784,597.6228571428571,131.7714285714294,37.117200000035936,34.969866666661886,76.00248302207092,19.0,11351900.0,19.0,253300.0000000012,persistent_10s,,,,
