trade_id,trade_date,target_contract,hedge_contract,direction,fill_key,fill_time,fill_context,event_label,fill_evidence,target_entry_price,hedge_entry_key,hedge_entry_price,exit_key,exit_time,exit_reason,status,target_exit_price,hedge_exit_price,target_pnl,hedge_pnl,gross_pnl,commission,net_pnl,gross_margin,unhedged_worst_mark_pnl,hedged_worst_mark_pnl,observed_worst_mark_pnl
20260303-AP605-0015,20260303,AP605,AP604,short,50015000,10:53:35.000,normal_quote,normal_move_fill,interval_vwap,10240.0,50016000,9775.0,50018000,10:53:38.000,hedged_exit,closed,10046.0,9751.0,194.0,-24.0,170.0,0.0,170.0,2001.5,0.0,170.0,0.0
20260303-AP605-0016,20260303,AP605,AP604,short,50289000,10:58:09.000,normal_quote,normal_move_fill,interval_vwap,10287.0,50290000,9837.0,50292000,10:58:12.000,hedged_exit,closed,10097.0,9801.0,190.0,-36.0,154.0,0.0,154.0,2012.4,0.0,154.0,0.0
20260303-AP605-0017,20260303,AP605,AP604,short,50310000,10:58:30.000,normal_quote,normal_move_fill,interval_vwap,10340.0,50311000,9850.0,50313000,10:58:33.000,hedged_exit,closed,10111.0,9818.0,229.0,-32.0,197.0,0.0,197.0,2019.0,0.0,197.0,0.0
20260303-AP605-0018,20260303,AP605,AP604,short,50448000,11:00:48.000,normal_quote,normal_move_fill,interval_vwap,10348.0,50449000,9903.0,50451000,11:00:51.000,hedged_exit,closed,10128.0,9894.0,220.0,-9.0,211.0,0.0,211.0,2025.1,0.0,211.0,0.0
20260303-AP605-0019,20260303,AP605,AP604,short,50500000,11:01:40.000,normal_quote,normal_move_fill,interval_vwap,10368.0,50501000,9950.0,50503000,11:01:43.000,hedged_exit,closed,10177.0,9950.0,191.0,0.0,191.0,0.0,191.0,2031.8,0.0,178.0,0.0
20260303-AP605-0020,20260303,AP605,AP604,long,59462000,13:31:02.000,normal_quote,normal_move_fill,interval_vwap,10127.0,59463000,10075.0,59465000,13:31:05.000,hedged_exit,closed,10370.0,10116.0,243.0,-41.0,202.0,0.0,202.0,2020.2,0.0,200.0,0.0
20260303-AP605-0021,20260303,AP605,AP604,long,59468000,13:31:08.000,normal_quote,normal_move_fill,interval_vwap,10130.0,59469000,10080.0,59471000,13:31:11.000,hedged_exit,closed,10372.0,10121.0,242.0,-41.0,201.0,0.0,201.0,2021.0,0.0,201.0,0.0
20260303-AP605-0022,20260303,AP605,AP604,long,59474000,13:31:14.000,normal_quote,normal_move_fill,interval_vwap,10132.0,59475000,10075.0,59477000,13:31:17.000,hedged_exit,closed,10372.0,10121.0,240.0,-46.0,194.0,0.0,194.0,2020.7,0.0,194.0,0.0
20260303-AP605-0023,20260303,AP605,AP604,long,59480000,13:31:20.000,normal_quote,normal_move_fill,interval_vwap,10134.0,59481000,10066.0,59483000,13:31:23.000,hedged_exit,closed,10351.0,10080.0,217.0,-14.0,203.0,0.0,203.0,2020.0,0.0,203.0,0.0
20260303-AP605-0024,20260303,AP605,AP604,long,61232000,14:00:32.000,fill_during_replace,normal_move_fill,interval_vwap,10150.0,61233000,10136.0,61235000,14:00:35.000,hedged_exit,closed,10437.0,10160.0,287.0,-24.0,263.0,0.0,263.0,2028.6,0.0,263.0,0.0
20260303-AP605-0025,20260303,AP605,AP604,long,61238000,14:00:38.000,normal_quote,normal_move_fill,interval_vwap,10203.0,61239000,10140.0,61241000,14:00:41.000,hedged_exit,closed,10445.0,10169.0,242.0,-29.0,213.0,0.0,213.0,2034.3000000000002,0.0,213.0,0.0
20260303-AP605-0026,20260303,AP605,AP604,long,61244000,14:00:44.000,normal_quote,normal_move_fill,interval_vwap,10219.0,61245000,10154.0,61247000,14:00:47.000,hedged_exit,closed,10453.0,10174.0,234.0,-20.0,214.0,0.0,214.0,2037.3000000000002,0.0,213.0,0.0
20260303-AP605-0027,20260303,AP605,AP604,long,61250000,14:00:50.000,normal_quote,normal_move_fill,interval_vwap,10216.0,61251000,10147.0,61253000,14:00:53.000,hedged_exit,closed,10458.0,10180.0,242.0,-33.0,209.0,0.0,209.0,2036.3000000000002,0.0,207.0,0.0
20260303-AP605-0028,20260303,AP605,AP604,long,61256000,14:00:56.000,normal_quote,normal_move_fill,interval_vwap,10219.0,61257000,10156.0,61259000,14:00:59.000,hedged_exit,closed,10460.0,10182.0,241.0,-26.0,215.0,0.0,215.0,2037.5,0.0,215.0,0.0
20260303-AP605-0029,20260303,AP605,AP604,long,61262000,14:01:02.000,normal_quote,normal_move_fill,interval_vwap,10214.0,61263000,10152.0,61265000,14:01:05.000,hedged_exit,closed,10461.0,10182.0,247.0,-30.0,217.0,0.0,217.0,2036.6000000000001,0.0,216.0,0.0
20260303-AP605-0030,20260303,AP605,AP604,long,61268000,14:01:08.000,normal_quote,normal_move_fill,interval_vwap,10219.0,61269000,10156.0,61271000,14:01:11.000,hedged_exit,closed,10454.0,10176.0,235.0,-20.0,215.0,0.0,215.0,2037.5,0.0,215.0,0.0
